InscriptionYear,HusbandAge,HusbandPreviousMaritalStatus,HusbandCityBirthPlace,HusbandCountryBirthPlace,HusbandCityResidencePlace,HusbandCountryResidencePlace,HusbandPreviousMarriages,HusbandPreviousChildren,WifeAge,WifePreviousMaritalStatus,WifeCityBirthPlace,WifeCountryBirthPlace,WifeCityResidencePlace,WifeCountryResidencePlace,WifePreviousMarriages,WifePreviousChildren,MarriageDate,MarriagePlace
2013,35,DIVORCIO O ANULACION,RIO PIEDRAS,PUERTO RICO,CANOVANAS,PUERTO RICO,1,1,36,DIVORCIO O ANULACION,RIO PIEDRAS,PUERTO RICO,SAN JUAN,PUERTO RICO,2,0,3/16/13,CAROLINA
2013,26,NUNCA SE HA CASADO,RIO PIEDRAS,PUERTO RICO,CAROLINA,PUERTO RICO,0,0,26,NUNCA SE HA CASADO,FAJARDO,PUERTO RICO,RIO GRANDE,PUERTO RICO,0,0,10/5/13,RIO GRANDE
2013,49,NUNCA SE HA CASADO,RIO GRANDE,PUERTO RICO,RIO GRANDE,PUERTO RICO,0,0,42,NUNCA SE HA CASADO,FAJARDO,PUERTO RICO,RIO GRANDE,PUERTO RICO,0,0,11/14/13,RIO GRANDE
2013,23,NUNCA SE HA CASADO,NEW JERSEY,ESTADOS UNIDOS,ADJUNTAS,PUERTO RICO,0,0,23,NUNCA SE HA CASADO,PONCE,PUERTO RICO,PONCE,PUERTO RICO,0,0,6/15/13,ADJUNTAS
2013,25,NUNCA SE HA CASADO,PONCE,PUERTO RICO,PONCE,PUERTO RICO,0,0,23,NUNCA SE HA CASADO,PONCE,PUERTO RICO,ADJUNTAS,PUERTO RICO,0,0,2/16/13,ADJUNTAS
2013,26,NUNCA SE HA CASADO,PONCE,PUERTO RICO,SAN JUAN,PUERTO RICO,0,0,22,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,SAN JUAN,PUERTO RICO,0,0,12/7/13,QUEBRADILLAS
2013,26,NUNCA SE HA CASADO,RIO PIEDRAS,PUERTO RICO,AGUADA,PUERTO RICO,0,0,24,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,CABO ROJO,PUERTO RICO,0,0,10/24/13,AGUADA
2013,25,NUNCA SE HA CASADO,JUANA DIAZ,PUERTO RICO,JUANA DIAZ,PUERTO RICO,0,0,26,NUNCA SE HA CASADO,JAYUYA,PUERTO RICO,JUANA DIAZ,PUERTO RICO,0,0,11/24/13,PONCE
2013,19,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,MAYAGUEZ,PUERTO RICO,0,0,19,NUNCA SE HA CASADO,MAYAGUEZ,PUERTO RICO,MAYAGUEZ,PUERTO RICO,0,0,5/22/13,MAYAGUEZ
2013,36,NUNCA SE HA CASADO,NEW YORK,ESTADOS UNIDOS,BAYAMON,PUERTO RICO,0,0,32,NUNCA SE HA CASADO,BAYAMON,PUERTO RICO,COROZAL,PUERTO RICO,0,0,9/28/13,BAYAMON
